"instancia","n.nodos","n.aristas","tiempo.A","tiempo.B","tiempo.C","mejor.A","mejor.B","mejor.C"
1,50,631,107534,452595,257485,98.72,98.25,99.34
2,50,521,74808,364061,207297,98.99,99.17,99.48
3,50,588,94072,417798,237793,99.1,99.23,99.1
4,50,653,114830,470701,267598,98.69,99.23,97.82
5,50,597,96720,425233,241770,99.8,99.22,98.14
6,50,564,86688,398448,226833,99.19,99.15,98.04
7,50,684,125645,496118,282077,99.45,98.58,99.22
8,50,626,105982,448861,255243,99.79,97.95,99.22
9,50,699,131095,508673,289004,99.19,97.79,98.43
10,50,549,82600,386569,220067,99.39,99.12,99.04
11,50,617,103256,441449,251210,99.11,99.02,98.99
12,50,656,116088,473179,269176,99.55,98.14,99.39
13,50,697,130293,507011,288065,98.75,97.87,99
14,50,593,95588,421852,240140,99.78,97.7,99.88
15,50,595,96180,423517,241141,99.51,99.51,99.62
16,50,633,108369,454555,258372,99.64,98.11,98.3
17,50,650,113916,468503,266402,99.77,98.43,99.11
18,50,646,112619,465122,264473,98.71,98.35,99.32
19,50,549,82760,386654,220188,99.86,99.03,98.85
20,50,683,125431,495472,281613,99.55,99.35,99.67
21,60,918,221955,692702,393014,98.58,98.09,98.98
22,60,802,170917,594740,337776,98.76,99.65,99.79
23,60,1017,270976,777723,441060,99.12,97.41,98.58
24,60,978,251386,744194,421965,99.75,98.53,99.49
25,60,941,233140,712329,404008,98.61,98.96,99.28
26,60,975,249766,741721,420529,98.22,96.94,98
27,60,882,205476,662190,375681,99.06,98.02,98.26
28,60,844,188704,629774,357554,99.35,97.13,99.18
29,60,806,172376,598118,339300,99.47,97.96,97.61
30,60,808,173400,599805,340547,98.23,97.49,98.04
31,60,990,257457,754644,428029,98.77,98.11,98.36
32,60,859,195223,642560,364848,98.43,99.23,98.94
33,60,774,159655,571154,324657,98.8,97.86,99.04
34,60,791,166490,585395,332518,99.32,97.03,99.01
35,60,850,191555,635286,360591,99.2,98.77,99.47
36,60,981,252876,746743,423598,98.65,97.25,98.92
37,60,975,249708,741680,420598,98.04,97.91,98.61
38,60,949,236942,719512,407963,98.93,97.21,98.29
39,60,1015,270060,776426,440253,98.78,96.98,98.98
40,60,760,154137,559792,317852,98.6,97.84,98.9
41,70,1212,382143,947924,536924,99.36,97.38,97.43
42,70,1232,394395,965334,547148,98.77,97.18,97.89
43,70,1105,318794,854179,484068,98.58,98.01,96.2
44,70,1260,411999,990491,560973,98.25,98.71,97.64
45,70,1254,408354,985163,557996,98.99,98.79,98.95
46,70,1147,343080,891077,505090,99.42,96.36,98.95
47,70,1095,313221,845777,479213,98.34,99.1,98.65
48,70,1106,319406,855320,484734,98.52,97.57,97.93
49,70,1238,398278,971146,549967,99.25,98.6,97.58
50,70,1273,420897,1001842,567311,98.8,99.72,96.36
51,70,1230,393150,963955,545947,97.63,95.72,97.74
52,70,1315,448235,1039415,588394,98.94,95.66,97.26
53,70,1159,350178,901646,510785,99.04,98.09,98.7
54,70,1038,282347,796135,451458,99.7,99.68,98.05
55,70,1323,453516,1046482,592528,97.6,95.1,97.73
56,70,1185,365826,924535,523776,98.97,97.65,96.22
57,70,1325,454851,1048648,593486,97.6,94.46,99.81
58,70,1104,318719,853664,483908,97.82,95.85,96.43
59,70,1131,334128,877315,497297,99.05,98.13,97.66
60,70,1187,367153,926159,524638,98.53,96.9,99.44
61,80,1681,726535,1369662,774552,97.17,97.23,97.65
62,80,1671,717980,1360320,769376,99.02,97.16,97.3
63,80,1360,478989,1079592,611202,98.53,96.93,97.35
64,80,1677,723014,1366115,772474,98.28,98.19,97.08
65,80,1370,486023,1088460,616406,98.02,95.33,95.48
66,80,1378,491683,1095696,620035,99.59,98.84,98.42
67,80,1343,467360,1064593,602669,98.35,98.66,97.65
68,80,1685,730137,1373131,776747,96.6,95.6,98.48
69,80,1609,666586,1303900,737599,97.18,97.92,97.36
70,80,1658,707190,1348357,762764,97.58,93.45,96.51
71,80,1512,589858,1216004,688029,99.29,94.98,98.15
72,80,1656,705474,1346778,761700,97.12,97.36,97.97
73,80,1346,469550,1067112,604279,99.21,98.7,97.53
74,80,1799,830561,1477584,835494,98.01,93.2,97.73
75,80,1643,694845,1334728,754984,98.8,95.24,99.46
76,80,1437,533794,1148686,649933,98.27,97.2,98.6
77,80,1466,554792,1174722,664930,98.57,97.5,95.63
78,80,1668,715804,1357717,768072,99.39,94.3,97.75
79,80,1801,832885,1479578,836409,98.62,96.09,98.34
80,80,1360,479164,1079723,611345,99.06,97.91,94.99
81,90,1721,761288,1406599,795114,98.76,96.64,95.88
82,90,1972,995761,1637914,925800,99.2,95.08,97.71
83,90,2146,1176876,1800470,1017315,96.9,93.83,98.92
84,90,2264,1307970,1911543,1079583,97.59,94.4,97.35
85,90,2232,1271645,1881320,1062909,97.26,92.55,98.41
86,90,2062,1087397,1722151,973023,97.26,98.98,95.33
87,90,1960,984006,1627230,919603,97.21,95.97,95.91
88,90,2172,1205085,1825003,1031239,97.05,94.6,96.63
89,90,1761,796373,1443220,816006,99.49,99.28,96.04
90,90,1958,981926,1624947,918476,97.8,92.36,95.19
91,90,2109,1136811,1765646,997921,98.76,93.91,99.14
92,90,1800,831844,1478850,836440,98.31,95.18,97.69
93,90,2189,1223912,1840875,1040113,97.3,97.83,96.76
94,90,1838,866889,1513900,856036,98.24,98.35,97.32
95,90,2035,1059855,1696931,958894,95.56,95.39,94.04
96,90,2098,1125553,1755992,992339,97.25,94.98,99.36
97,90,1914,939134,1584236,895865,97.18,97.52,94.25
98,90,2068,1093928,1727670,976107,98.12,94.05,96.24
99,90,2012,1036198,1675414,946916,96.4,95,98.21
100,90,1798,830249,1477465,835356,97.74,97.46,98.62
101,100,2651,1787996,2279894,1287050,98.2,99.27,95
102,100,2583,1698618,2214676,1250374,97.57,93.77,96.93
103,100,2136,1166026,1791186,1012252,98.51,93.15,97.94
104,100,2807,2002797,2430278,1371603,99.38,92.12,94.17
105,100,2481,1568330,2117607,1195511,97.96,96.93,97.91
106,100,2480,1567085,2116645,1195301,97.68,91.25,98.13
107,100,2388,1453858,2029282,1146021,97.32,94.93,97.12
108,100,2619,1745691,2249226,1269934,98.37,93.58,98.21
109,100,2348,1406201,1991521,1124603,98.39,98.11,94.99
110,100,2740,1909148,2365495,1335275,95.21,94.37,97.46
111,100,2640,1773924,2269588,1280937,95.12,96.73,94.21
112,100,2515,1611177,2150065,1214089,96.63,91.1,95.82
113,100,2199,1235364,1850743,1045723,99.47,94.08,95.22
114,100,2321,1374758,1965678,1110307,97.48,94.46,95.46
115,100,2349,1407557,1992182,1125275,96.5,96.27,97.82
116,100,2575,1688017,2207401,1246344,99.14,97.15,96.14
117,100,2575,1688195,2207341,1246173,97.01,91.48,91.47
118,100,2837,2045433,2459421,1387766,98.09,95.33,97.39
119,100,2346,1404362,1989766,1123449,98.9,98.36,98.26
120,100,2592,1710268,2223590,1255338,96.46,93.13,97.03
121,110,3014,2306455,2630575,1484462,97.2,86.85,97.2
122,110,3090,2423249,2704848,1526060,96.6,94.17,95.88
123,110,2804,1998446,2427287,1370224,98.69,91.6,94.9
124,110,3045,2353874,2660914,1501416,95.09,96.32,94.63
125,110,3418,2960415,3025824,1706752,98.39,85.99,95.33
126,110,2831,2037336,2453589,1384710,97.56,92.95,97.71
127,110,3149,2516190,2762072,1558289,96.66,88.5,98.09
128,110,3022,2318669,2638637,1488924,97.06,90.9,98.63
129,110,2627,1756578,2257356,1274488,98.56,95.62,94.96
130,110,3184,2571876,2796234,1578025,99.87,95.59,95.42
131,110,3337,2822923,2946475,1662315,97.64,94.47,91.74
132,110,2620,1747611,2250636,1270501,93.45,90.16,96.99
133,110,3288,2740821,2898259,1635036,94.24,95.26,94
134,110,3249,2677253,2860194,1613326,97.41,90.79,97.64
135,110,2842,2052909,2464253,1391087,97.67,90.66,93.49
136,110,3399,2928374,3007728,1696454,96.49,93.41,98.67
137,110,3431,2983251,3038788,1714178,95.31,86.72,92.32
138,110,2712,1871070,2338726,1320203,99.04,95.96,95.83
139,110,2927,2176449,2546481,1437173,98.65,97.18,93.18
140,110,2946,2204682,2564673,1447479,97.24,87.78,96.4
141,120,3172,2553026,2784566,1571416,99.56,97.84,92.98
142,120,3155,2525958,2768526,1561804,96.94,90.35,92.58
143,120,3138,2498816,2751996,1552623,94.99,88.46,97.49
144,120,4089,4227419,3692921,2081635,94.89,91.84,95.81
145,120,3991,4028596,3595410,2026337,93.4,92.7,97.04
146,120,3158,2530370,2771856,1563515,98.14,89.45,92.74
147,120,4058,4163904,3662204,2064192,96.38,96.94,96.95
148,120,3446,3009439,3053928,1722644,96.84,94.59,92.9
149,120,3776,3608636,3380926,1906000,95.91,94.92,94.77
150,120,3193,2586617,2805526,1582759,96.45,88.75,90.74
151,120,3710,3484273,3314954,1869008,97.85,86.35,93.85
152,120,3152,2521193,2765475,1559700,97.09,88.85,93.33
153,120,3361,2863814,2970598,1675419,96.14,96.78,91.76
154,120,3362,2865168,2971608,1676428,98.48,95.11,99.32
155,120,3415,2955994,3023933,1705341,93.72,95.45,89.33
156,120,3308,2774849,2918597,1645950,98.7,92.07,95.73
157,120,4036,4119227,3640218,2052122,95.06,93.01,95.59
158,120,4002,4050741,3606407,2033393,95.03,91.73,92.17
159,120,3549,3190399,3155503,1779367,96.69,87.84,95.61
160,120,3324,2801708,2934063,1655577,97.15,89.22,94.29
161,130,4716,5614648,4326420,2437325,96.99,80.6,95.35
162,130,3664,3399341,3269943,1843698,95.28,92.7,94
163,130,4410,4913079,4016516,2263325,93.15,91.08,93.51
164,130,4180,4416257,3784622,2133500,93.26,95.82,94.58
165,130,4116,4283398,3720327,2097035,93.42,99.86,99.06
166,130,4709,5598163,4319386,2433745,97.73,99.84,89.2
167,130,4321,4717846,3926527,2213083,96.58,96.14,98.11
168,130,3614,3307370,3219879,1815986,95.84,95.1,97.13
169,130,3630,3336898,3235980,1824954,93.47,96.64,94.3
170,130,3800,3654683,3404616,1919614,97.33,88.56,92.46
